Reaction;Subsystem
HMR_4097;Glycolysis / Gluconeogenesis
HMR_4099;Glycolysis / Gluconeogenesis
HMR_4108;Glycolysis / Gluconeogenesis
HMR_4133;Glycolysis / Gluconeogenesis
HMR_4137;Glycolysis / Gluconeogenesis
HMR_4281;Glycolysis / Gluconeogenesis
HMR_4388;Glycolysis / Gluconeogenesis
HMR_4283;Glycolysis / Gluconeogenesis
HMR_8357;Glycolysis / Gluconeogenesis
HMR_4379;Glycolysis / Gluconeogenesis
HMR_4301;Glycolysis / Gluconeogenesis
HMR_4355;Glycolysis / Gluconeogenesis
HMR_4358;Glycolysis / Gluconeogenesis
HMR_4360;Glycolysis / Gluconeogenesis
HMR_4363;Glycolysis / Gluconeogenesis
HMR_4365;Glycolysis / Gluconeogenesis
HMR_4368;Glycolysis / Gluconeogenesis
HMR_4370;Glycolysis / Gluconeogenesis
HMR_4371;Glycolysis / Gluconeogenesis
HMR_4372;Glycolysis / Gluconeogenesis
HMR_4373;Glycolysis / Gluconeogenesis
HMR_4375;Glycolysis / Gluconeogenesis
HMR_4377;Glycolysis / Gluconeogenesis
HMR_4381;Glycolysis / Gluconeogenesis
HMR_4391;Glycolysis / Gluconeogenesis
HMR_4394;Glycolysis / Gluconeogenesis
HMR_4396;Glycolysis / Gluconeogenesis
HMR_4521;Glycolysis / Gluconeogenesis
HMR_6410;Glycolysis / Gluconeogenesis
HMR_6412;Glycolysis / Gluconeogenesis
HMR_7745;Glycolysis / Gluconeogenesis
HMR_7746;Glycolysis / Gluconeogenesis
HMR_7747;Glycolysis / Gluconeogenesis
HMR_7748;Glycolysis / Gluconeogenesis
HMR_7749;Glycolysis / Gluconeogenesis
HMR_4122;Starch and sucrose metabolism
HMR_5395;Starch and sucrose metabolism
HMR_5396;Starch and sucrose metabolism
HMR_9727;Starch and sucrose metabolism
HMR_5397;Starch and sucrose metabolism
HMR_5398;Starch and sucrose metabolism
HMR_5399;Starch and sucrose metabolism
